Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Chrome 73.0.3683.103,,2019-04-12 15:18:17,2019-04-12 15:19:20,1m - 2.727s,PASSED
,,,,,,
Test Cases/Test1,Chrome 73.0.3683.103,,2019-04-12 15:18:18,2019-04-12 15:19:20,1m - 1.610s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 15:18:21,2019-04-12 15:18:38,16.655s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Chrome 73.0.3683.103,,2019-04-12 15:18:38,2019-04-12 15:18:44,6.176s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 73.0.3683.103,,2019-04-12 15:18:44,2019-04-12 15:18:45,1.373s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 73.0.3683.103,,2019-04-12 15:18:45,2019-04-12 15:18:49,4.025s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 15:18:49,2019-04-12 15:19:07,17.534s,PASSED
"click(findTestObject(""Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-12 15:19:07,2019-04-12 15:19:16,8.578s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-12 15:19:16,2019-04-12 15:19:18,2.109s,PASSED
