Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SampleTestSuite,Chrome 73.0.3683.103,,2019-04-12 15:13:36,2019-04-12 15:15:40,2m - 4.387s,PASSED
,,,,,,
Test Cases/Test1,Chrome 73.0.3683.103,,2019-04-12 15:13:36,2019-04-12 15:15:40,2m - 3.401s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 15:13:41,2019-04-12 15:13:56,14.895s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Chrome 73.0.3683.103,,2019-04-12 15:13:56,2019-04-12 15:14:30,33.979s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 73.0.3683.103,,2019-04-12 15:14:30,2019-04-12 15:15:10,40.300s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 73.0.3683.103,,2019-04-12 15:15:10,2019-04-12 15:15:14,4.045s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,2019-04-12 15:15:14,2019-04-12 15:15:31,17.327s,PASSED
"click(findTestObject(""Page_OrangeHRM/b_Leave""))",Chrome 73.0.3683.103,,2019-04-12 15:15:31,2019-04-12 15:15:35,3.920s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-12 15:15:35,2019-04-12 15:15:38,2.255s,PASSED
